Русское название,Английское название,Рейтинг
Рэй (2004),Ray,8.162
Жизнь Дэвида Гейла (2002),The Life of David Gale,8.161
Танцующий с волками (1990),Dances with Wolves,8.160
Привидение (1990),Ghost,8.159
12 стульев (1971),-,8.159
Самый быстрый Indian (2005),The World's Fastest Indian,8.155
Шерлок Холмс и доктор Ватсон: Сокровища Агры (1983),-,8.151
Умница Уилл Хантинг (1997),Good Will Hunting,8.148
Терминал (2004),The Terminal,8.147
Славные парни (1990),Goodfellas,8.147
Назад в будущее 3 (1990),Back to the Future Part III,8.146
Лицо со шрамом (1983),Scarface,8.146
Пираты Карибского моря: Сундук мертвеца (2006),Pirates of the Caribbean: Dead Man's Chest,8.143
На несколько долларов больше (1965),Per qualche dollaro in più,8.143
Блеф (1976),Bluff storia di truffe e di imbroglioni,8.138
Король говорит! (2010),The King's Speech,8.137
Головоломка (2015),Inside Out,8.137
Ледниковый период (2002),Ice Age,8.136
Перед классом (2008),Front of the Class,8.136
Остров сокровищ (1988),-,8.135
Ромео и Джульетта (1968),Romeo and Juliet,8.134
Планета Ка-Пэкс (2001),K-PAX,8.128
Золотой теленок (1968),-,8.128
Семь самураев (1954),Shichinin no samurai,8.128
В случае убийства набирайте «М» (1954),Dial M for Murder,8.128
Шерлок Холмс (2009),Sherlock Holmes,8.126
Амели (2001),Le Fabuleux destin d'Amélie Poulain,8.126
Бешеные псы (1991),Reservoir Dogs,8.125
Заплати другому (2000),Pay It Forward,8.125
Нюрнбергский процесс (1961),Judgment at Nuremberg,8.123
Вам и не снилось... (1980),-,8.122
Вечное сияние чистого разума (2004),Eternal Sunshine of the Spotless Mind,8.118
Корпорация монстров (2001),"Monsters, Inc.",8.118
"Три билборда на границе Эббинга, Миссури (2017)","Three Billboards Outside Ebbing, Missouri",8.116
Ганди (1982),Gandhi,8.116
Воин (2011),Warrior,8.115
Тот самый Мюнхгаузен (1979),-,8.111
Апокалипсис сегодня (1979),Apocalypse Now,8.110
Андрей Рублев (1966),-,8.109
Белый плен (2005),Eight Below,8.107
Отец солдата (1964),-,8.107
Твоё имя (2016),Kimi no na wa.,8.104
Звёздные войны: Эпизод 3 – Месть Ситхов (2005),Star Wars: Episode III - Revenge of the Sith,8.103
Тренер Картер (2005),Coach Carter,8.102
Человек-слон (1980),The Elephant Man,8.098
Писатели свободы (2006),Freedom Writers,8.098
Мой сосед Тоторо (1988),Tonari no Totoro,8.096
Красота по-американски (1999),American Beauty,8.095
Индиана Джонс и последний крестовый поход (1989),Indiana Jones and the Last Crusade,8.095
Октябрьское небо (1999),October Sky,8.095
Исчезнувшая (2014),Gone Girl,8.093
Схватка (1995),Heat,8.093
Военный ныряльщик (2000),Men of Honor,8.092
Звёздные войны: Эпизод 6 – Возвращение Джедая (1983),Star Wars: Episode VI - Return of the Jedi,8.088
Принцесса Мононоке (1997),Mononoke-hime,8.087
Ип Ман (2008),Yip Man,8.087
Психо (1960),Psycho,8.084
Знахарь (1981),Znachor,8.084
Легенда №17 (2012),-,8.082
Звёздочки на земле (2007),Taare Zameen Par,8.081
Новый кинотеатр «Парадизо» (1988),Nuovo Cinema Paradiso,8.080
Иллюзионист (2005),The Illusionist,8.076
Шрек (2001),Shrek,8.075
"Ирония судьбы, или С легким паром! (1975)",-,8.075
Последний самурай (2003),The Last Samurai,8.075
Берегись автомобиля (1966),-,8.073
Цирк (1928),The Circus,8.071
Жестокий романс (1984),-,8.070
Гарри Поттер и узник Азкабана (2004),Harry Potter and the Prisoner of Azkaban,8.069
Трасса 60 (2001),Interstate 60,8.069
Тэмпл Грандин (2010),Temple Grandin,8.069
Хоббит: Пустошь Смауга (2013),The Hobbit: The Desolation of Smaug,8.067
Пока не сыграл в ящик (2007),The Bucket List,8.067
Хулиганы (2005),Hooligans,8.067
Брат 2 (2000),-,8.066
Загадочная история Бенджамина Баттона (2008),The Curious Case of Benjamin Button,8.065
Я – Сэм (2001),I Am Sam,8.064
Медведь (1988),L'ours,8.062
Ураган (1999),The Hurricane,8.061
Гарри Поттер и философский камень (2001),Harry Potter and the Sorcerer's Stone,8.060
Дурак (2014),-,8.060
Апокалипсис (2006),Apocalypto,8.060
Три идиота (2009),3 Idiots,8.060
Подмена (2008),Changeling,8.059
Песнь моря (2014),Song of the Sea,8.059
Гарри Поттер и Дары Смерти: Часть II (2011),Harry Potter and the Deathly Hallows: Part 2,8.058
Золотая лихорадка (1925),The Gold Rush,8.055
Рататуй (2007),Ratatouille,8.054
Убить пересмешника (1962),To Kill a Mockingbird,8.054
Крепкий орешек (1988),Die Hard,8.053
